INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2021-09-01T07:00:00-00:00,2021-09-01T08:00:00-00:00,1,2021-09-01,1,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,100.22,DAM,4
2021-09-01T10:00:00-00:00,2021-09-01T11:00:00-00:00,1,2021-09-01,4,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,86.5,DAM,4
2021-09-01T20:00:00-00:00,2021-09-01T21:00:00-00:00,1,2021-09-01,14,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,150.04,DAM,4
2021-09-01T16:00:00-00:00,2021-09-01T17:00:00-00:00,1,2021-09-01,10,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,115.65,DAM,4
2021-09-01T18:00:00-00:00,2021-09-01T19:00:00-00:00,1,2021-09-01,12,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,129.46,DAM,4
2021-09-01T09:00:00-00:00,2021-09-01T10:00:00-00:00,1,2021-09-01,3,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,104.93,DAM,5
2021-09-01T17:00:00-00:00,2021-09-01T18:00:00-00:00,1,2021-09-01,11,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,138.57,DAM,5
2021-09-01T18:00:00-00:00,2021-09-01T19:00:00-00:00,1,2021-09-01,12,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,145.21,DAM,5
2021-09-02T00:00:00-00:00,2021-09-02T01:00:00-00:00,1,2021-09-01,18,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,201.43,DAM,5
2021-09-01T23:00:00-00:00,2021-09-02T00:00:00-00:00,1,2021-09-01,17,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,198.12,DAM,5
2021-09-02T03:00:00-00:00,2021-09-02T04:00:00-00:00,1,2021-09-01,21,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,173.34,DAM,5
2021-09-02T06:00:00-00:00,2021-09-02T07:00:00-00:00,1,2021-09-01,24,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,118.63,DAM,5
2021-09-01T08:00:00-00:00,2021-09-01T09:00:00-00:00,1,2021-09-01,2,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,111.36,DAM,5
2021-09-01T21:00:00-00:00,2021-09-01T22:00:00-00:00,1,2021-09-01,15,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,175.54,DAM,5
2021-09-02T02:00:00-00:00,2021-09-02T03:00:00-00:00,1,2021-09-01,20,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,181.8,DAM,5
2021-09-01T07:00:00-00:00,2021-09-01T08:00:00-00:00,1,2021-09-01,1,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,120.58,DAM,5
2021-09-01T10:00:00-00:00,2021-09-01T11:00:00-00:00,1,2021-09-01,4,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,101.63,DAM,5
2021-09-01T14:00:00-00:00,2021-09-01T15:00:00-00:00,1,2021-09-01,8,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,119.18,DAM,5
2021-09-01T19:00:00-00:00,2021-09-01T20:00:00-00:00,1,2021-09-01,13,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,153.35,DAM,5
2021-09-02T05:00:00-00:00,2021-09-02T06:00:00-00:00,1,2021-09-01,23,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,134.78,DAM,5
2021-09-01T20:00:00-00:00,2021-09-01T21:00:00-00:00,1,2021-09-01,14,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,163.22,DAM,5
2021-09-01T16:00:00-00:00,2021-09-01T17:00:00-00:00,1,2021-09-01,10,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,132.38,DAM,5
